ID,Series,Title,Type,Basic,Expert,Ultimate,Supreme
216,Final Fantasy XII,The Mosphoran Highwaste,FMS,9960133,9781885,0,-
217,Final Fantasy XII,Boss Battle,BMS,9923567,9836522,0,-
218,Final Fantasy XII,Flash of Steel,BMS,9843915,9800000,0,0
219,Final Fantasy XII,Battle with an Esper,BMS,9816054,9886562,0,-
220,Final Fantasy XII,Life and Death,BMS,9919786,9796407,0,-
221,Final Fantasy XII,Struggle for Freedom,BMS,9876712,9790869,0,0
222,Final Fantasy XII,Ending Movie (from FINAL FANTASY XII Original Soundtrack),BMS,9917695,9722772,0,-
223,Final Fantasy XIII,Defiers of Fate,EMS,9603093,9843254,0,-
224,Final Fantasy XIII,Defiers of Fate,BMS,9434302,9901387,0,0
225,Final Fantasy XIII,Saber's Edge,BMS,9689573,9887290,0,-
226,Final Fantasy XIII,Blinded by Light,BMS,9664694,9875643,0,0
227,Final Fantasy XIII,March of the Dreadnoughts,FMS,9369619,9801902,0,-
228,Final Fantasy XIII,The Gapra Whitewood,FMS,9906137,9841689,0,-
229,Final Fantasy XIII,The Sunleth Waterscape,FMS,9938849,9877358,0,0
230,Final Fantasy XIII,The Archylte Steppe,FMS,9523116,9821637,0,-
231,Final Fantasy XIII,Desperate Struggle,BMS,9071713,9446469,0,-
232,Final Fantasy XIII,Will to Fight,BMS,9674576,9811558,0,-
233,Final Fantasy XIII,Dust to Dust,FMS,9674658,9888350,0,-
234,Final Fantasy XIII,Eden Under Siege,BMS,9755418,9599609,0,-
235,Final Fantasy XIII,Fighting Fate,BMS,9862319,9780924,0,0
236,Final Fantasy XIII,Nascent Requiem,BMS,9819005,9387316,0,0
237,Final Fantasy XIII-2,Warrior Goddess,EMS,9809917,9876827,0,-
238,Final Fantasy XIII-2,Etro's Champion,BMS,9850000,9811410,0,0
239,Final Fantasy XIII-2,Paradigm Shift,BMS,9674677,9864275,0,0
240,Final Fantasy XIII-2,Historia Crux,FMS,9350694,9875256,0,-
241,Final Fantasy XIII-2,The Last Hunter,BMS,9664000,9738129,0,-
242,Final Fantasy XIII-2,Full Speed Ahead,BMS,9851240,9845263,0,-
243,Final Fantasy XIII-2,Eclipse,FMS,9890526,9804954,0,-
244,Final Fantasy XIII-2,Plains of Eternity,FMS,9893720,9938650,0,-
245,Final Fantasy XIII-2,Groovy Chocobo,FMS,9935484,9809816,0,-
246,Final Fantasy XIII-2,Crazy Chocobo,FMS,9448511,9759259,0,0
247,Final Fantasy XIII-2,Noel's Theme - Final Journey -,FMS,9873786,9915332,0,-
248,Final Fantasy XIII-2,Heart of Chaos,BMS,9895833,9908108,0,0
249,Lightning Returns: Final Fantasy XIII,The Savior - LIGHTNING RETURNS:FINAL FANTASY XIII -,EMS,9764706,9693950,0,-
250,Lightning Returns: Final Fantasy XIII,LIGHTNING RETURNS - LIGHTNING RETURNS:FINAL FANTASY XIII -,BMS,9905371,9869822,0,0
251,Lightning Returns: Final Fantasy XIII,Crimson Blitz,BMS,9662857,9820078,0,0
252,Lightning Returns: Final Fantasy XIII,The Glittering City of Yusnaan,FMS,9888172,9840990,0,-
253,Lightning Returns: Final Fantasy XIII,The Dead Dunes,FMS,9901961,9785515,0,-
254,Lightning Returns: Final Fantasy XIII,The Savior - LIGHTNING RETURNS:FINAL FANTASY XIII -,BMS,9877034,9729219,0,0
255,Lightning Returns: Final Fantasy XIII,Chaos,BMS,9795402,9773869,0,-
256,Final Fantasy XIV,Answers,EMS,9582090,9483122,0,-
257,Final Fantasy XIV,On Westerly Winds,FMS,9073373,9950998,0,-
258,Final Fantasy XIV,Serenity,FMS,7671376,9947991,0,-
259,Final Fantasy XIV,To the Sun,FMS,8975756,9821862,0,-
260,Final Fantasy XIV,The Land Breathes,BMS,9352298,9803358,0,-
261,Final Fantasy XIV,Hard to Miss,BMS,9578774,9831797,0,-
262,Final Fantasy XIV,Torn from the Heavens,BMS,9459057,9767742,0,0
263,Final Fantasy XIV,Nemesis,BMS,9432225,9119380,0,-
264,Final Fantasy XIV,Primal Judgment,BMS,9733173,9776097,0,-
265,Final Fantasy XIV,Under the Weight,BMS,9793165,9728890,0,0
266,Final Fantasy XIV,Engage,FMS,9940341,9640625,0,0
267,Final Fantasy XIV,Fallen Angel,BMS,9940334,9647619,0,0
268,Final Fantasy XIV,Good King Moggle Mog XII,BMS,9321604,9929455,0,-
269,Final Fantasy XIV,Ultima,BMS,9894988,9610677,0,0
270,Final Fantasy XIV,Through the Maelstrom,BMS,9651214,9830838,0,0
271,Final Fantasy XIV,A Light in the Storm,FMS,9720000,9724444,0,-
272,Final Fantasy XIV,Oblivion,BMS,9808824,9832803,0,0
273,Final Fantasy XIV,Omnious Prognisticks,BMS,9850318,9772222,0,0
274,Final Fantasy XIV,Ink Long Dry,FMS,9922872,9687908,0,0
275,Final Fantasy XIV,Heroes,BMS,9775281,9834270,0,0
276,Final Fantasy XIV,Locus,BMS,9881288,9888601,0,0
277,Final Fantasy XIV,Metal - Brute Justice Mode,BMS,9859023,9797460,0,0
278,Final Fantasy XIV,Exponential Entropy,BMS,9735346,9802846,0,0
279,Final Fantasy XIV,Moebius,BMS,9818681,9837591,0,0
280,Final Fantasy XIV,Rise,BMS,9605263,9890173,0,0
281,Final Fantasy XIV,Triumph,BMS,9890785,9841313,0,-
282,Final Fantasy XIV,The Worm's Tail,BMS,9818182,9767733,0,0
283,Final Fantasy XIV,Wayward Daughter,BMS,9558824,9892308,0,0
284,Final Fantasy XIV,Sunrise,BMS,9871795,9688150,0,-
285,Final Fantasy XIV,What Angel Wakes Me,BMS,9841608,9839161,0,0
286,Final Fantasy XIV,Who Brings Shadow,BMS,9821629,9740814,0,0
287,Final Fantasy XIV,A Long Fall,BMS,9797292,9885897,0,0
288,Final Fantasy XIV,Promises to Keep,BMS,9566775,9537805,0,-
289,Final Fantasy XV,APOCALYPSIS NOCTIS,EMS,9468934,9552196,0,-
290,Final Fantasy XV,Stand Your Ground,BMS,9600649,9758197,0,-
291,Final Fantasy XV,Veiled in Black,BMS,9804627,9929374,0,0
292,Final Fantasy XV,Valse di Fantastica,FMS,9763780,9812092,0,0
293,Final Fantasy XV,The Fight Is On!,BMS,9452268,9924890,0,-
294,Final Fantasy XV,APOCALYPSIS NOCTIS (Uncovered Trailer),BMS,9648488,9270682,0,0
295,Final Fantasy XV,Flying R,FMS,9821023,9785714,0,0
296,Final Fantasy XV,Invidia,BMS,9724409,9590444,0,0
297,Final Fantasy XV,OMNIS LACRIMA,BMS,9513140,9838762,0,0
298,Final Fantasy XV,Up for the Challenge,BMS,9917614,9323843,0,0
299,Final Fantasy XV,Somnus,FMS,9893204,9553642,0,-
300,Final Fantasy XV,Hellfire,BMS,9886994,9802115,0,0
301,Final Fantasy XV,Magna Insomnia,BMS,9785092,9701075,0,0
302,Final Fantasy XV,Main Theme from FINAL FANTASY,FMS,9822878,9757647,0,-
303,Final Fantasy XV,NOCTIS,FMS,9875691,9724951,0,-
304,Final Fantasy XV,Shield of the King - Theme of EPISODE GLADIOLUS,FMS,9917857,9880734,0,-
305,Final Fantasy XV,EPISODE IGNIS - The Main Theme,FMS,9905263,9895879,0,-
